win,lose,probability
New Orleans Pelicans,Milwaukee Bucks,0.5237906793751629
Orlando Magic,Philadelphia 76ers,0.9371602209738253
Golden State Warriors,Portland Trail Blazers,0.7576003411035547
San Antonio Spurs,Utah Jazz,0.7847557292534475
Atlanta Hawks,Los Angeles Lakers,0.9484197272917814
Boston Celtics,Chicago Bulls,0.5300769554816861
Detroit Pistons,Brooklyn Nets,0.8745999667077309
Charlotte Hornets,Philadelphia 76ers,0.9812322425071526
Oklahoma City Thunder,Los Angeles Clippers,0.5736098877434312
Memphis Grizzlies,New Orleans Pelicans,0.6777750033927884
Houston Rockets,New York Knicks,0.6469009023339682
Portland Trail Blazers,Phoenix Suns,0.8502592936066536
Utah Jazz,Dallas Mavericks,0.5026247771977697
Toronto Raptors,Washington Wizards,0.7145778906141297
Cleveland Cavaliers,Boston Celtics,0.6547531128053165
Golden State Warriors,Oklahoma City Thunder,0.6293724982898594
Indiana Pacers,Milwaukee Bucks,0.7278743578168295
Denver Nuggets,Minnesota Timberwolves,0.5640345359766805
Orlando Magic,Sacramento Kings,0.546888854981004
Charlotte Hornets,Brooklyn Nets,0.9065144348705817
Chicago Bulls,New York Knicks,0.7740603381336795
Portland Trail Blazers,Dallas Mavericks,0.5858859954440309
Golden State Warriors,Los Angeles Lakers,0.9794793869693322
Los Angeles Clippers,Memphis Grizzlies,0.7142227913048024
New Orleans Pelicans,Phoenix Suns,0.686332330267296
Toronto Raptors,Miami Heat,0.5818837996898847
San Antonio Spurs,Utah Jazz,0.7962066727204582
Atlanta Hawks,Washington Wizards,0.5964819571767552
Atlanta Hawks,Houston Rockets,0.6301677158478728
Detroit Pistons,Denver Nuggets,0.6942448362007664
Chicago Bulls,Indiana Pacers,0.5644074237957024
Sacramento Kings,Milwaukee Bucks,0.5526446502200485
Oklahoma City Thunder,Minnesota Timberwolves,0.8779898558751599
Washington Wizards,Orlando Magic,0.6105522015331484
Cleveland Cavaliers,Philadelphia 76ers,0.9892366095293824
San Antonio Spurs,Los Angeles Clippers,0.6183312470547645
Boston Celtics,Denver Nuggets,0.7776011221263198
Dallas Mavericks,Milwaukee Bucks,0.7068960706023083
Phoenix Suns,Los Angeles Lakers,0.6513777741161297
Portland Trail Blazers,Memphis Grizzlies,0.6230629995626031
Utah Jazz,New York Knicks,0.6542722914533202
Toronto Raptors,Sacramento Kings,0.8179680528667462
Chicago Bulls,Orlando Magic,0.706116835510661
Charlotte Hornets,Indiana Pacers,0.5604470717719969
Golden State Warriors,New Orleans Pelicans,0.919293994640437
Los Angeles Clippers,Detroit Pistons,0.6338603636600283
Oklahoma City Thunder,Miami Heat,0.5779387537734203
Utah Jazz,Philadelphia 76ers,0.9563432948116268
Washington Wizards,Houston Rockets,0.5445944518169078
Minnesota Timberwolves,Brooklyn Nets,0.6768567617219095
Cleveland Cavaliers,Atlanta Hawks,0.6875823276229461
Dallas Mavericks,Los Angeles Lakers,0.8969992083623225
Memphis Grizzlies,Denver Nuggets,0.6237444548773476
Portland Trail Blazers,Phoenix Suns,0.8909927862038125
Sacramento Kings,New Orleans Pelicans,0.6031375445710607
Chicago Bulls,Atlanta Hawks,0.5051129249708403
Charlotte Hornets,Utah Jazz,0.6245972785006416
Golden State Warriors,Dallas Mavericks,0.8267224320663986
Indiana Pacers,Philadelphia 76ers,0.9760945528331681
Los Angeles Clippers,Portland Trail Blazers,0.5891705356690586
New York Knicks,Brooklyn Nets,0.7884803836333797
Toronto Raptors,Oklahoma City Thunder,0.5210057664257823
Orlando Magic,Minnesota Timberwolves,0.6626647223686055
Detroit Pistons,Phoenix Suns,0.8246767029940869
San Antonio Spurs,Houston Rockets,0.7901826476359798
Boston Celtics,Washington Wizards,0.6317356281926498
Golden State Warriors,Denver Nuggets,0.9046245483251012
Miami Heat,Chicago Bulls,0.5272554076525399
Milwaukee Bucks,New Orleans Pelicans,0.5326252007272904
Sacramento Kings,Los Angeles Lakers,0.8788180486851188
Boston Celtics,New York Knicks,0.7991020859064842
Toronto Raptors,Charlotte Hornets,0.6353042169472951
Oklahoma City Thunder,Los Angeles Clippers,0.5421367811654568
Utah Jazz,Orlando Magic,0.5789009751997489
Indiana Pacers,Philadelphia 76ers,0.9661993813070676
Portland Trail Blazers,Sacramento Kings,0.7483582068773501
San Antonio Spurs,Detroit Pistons,0.7472805124207489
Cleveland Cavaliers,Washington Wizards,0.7837402753251494
Atlanta Hawks,Philadelphia 76ers,0.9810732289037766
Chicago Bulls,Washington Wizards,0.589218050599561
Detroit Pistons,Denver Nuggets,0.6761348952100025
San Antonio Spurs,Houston Rockets,0.8015172659500991
Boston Celtics,Indiana Pacers,0.6044886000203828
Miami Heat,Utah Jazz,0.6525100632351732
Memphis Grizzlies,Milwaukee Bucks,0.6352387242855199
Los Angeles Clippers,Minnesota Timberwolves,0.8427730083288943
New Orleans Pelicans,Los Angeles Lakers,0.8424748177530225
Phoenix Suns,Brooklyn Nets,0.6490214404027771
Toronto Raptors,New York Knicks,0.8501205723154787
Cleveland Cavaliers,Charlotte Hornets,0.687211102836105
Golden State Warriors,Phoenix Suns,0.9569665896625336
Minnesota Timberwolves,Los Angeles Lakers,0.8239395690466264
Oklahoma City Thunder,Orlando Magic,0.7965013884284451
Portland Trail Blazers,Denver Nuggets,0.7674254373004744
Oklahoma City Thunder,Detroit Pistons,0.6995454072171046
Houston Rockets,Philadelphia 76ers,0.9691357766024968
Indiana Pacers,Orlando Magic,0.6561956216781646
Los Angeles Clippers,Brooklyn Nets,0.93772602793556
Boston Celtics,New Orleans Pelicans,0.8054145970730795
Dallas Mavericks,New York Knicks,0.6591864431774939
San Antonio Spurs,Miami Heat,0.6519997181790477
Utah Jazz,Memphis Grizzlies,0.5486638813913103
Cleveland Cavaliers,Toronto Raptors,0.5651144885515109
Brooklyn Nets,Los Angeles Lakers,0.5470745850971399
Miami Heat,Atlanta Hawks,0.5231927834187494
Charlotte Hornets,Minnesota Timberwolves,0.8032702119491766
Portland Trail Blazers,Chicago Bulls,0.5156305355086374
Atlanta Hawks,Milwaukee Bucks,0.7908628088248675
Boston Celtics,Dallas Mavericks,0.6501311121922979
Denver Nuggets,Phoenix Suns,0.7292442589127832
Cleveland Cavaliers,Indiana Pacers,0.7635299617932805
Los Angeles Clippers,Memphis Grizzlies,0.7152922777619325
Detroit Pistons,New York Knicks,0.7000026716768251
Oklahoma City Thunder,Houston Rockets,0.733509771151428
Orlando Magic,New Orleans Pelicans,0.6295196339597732
Washington Wizards,Philadelphia 76ers,0.9615108921832193
San Antonio Spurs,Sacramento Kings,0.861154824259243
Golden State Warriors,Toronto Raptors,0.6741031452660997
Portland Trail Blazers,Houston Rockets,0.598319753861826
Miami Heat,Milwaukee Bucks,0.8114892764879544
Minnesota Timberwolves,Philadelphia 76ers,0.9295424288356833
Chicago Bulls,Utah Jazz,0.6197914474130439
Washington Wizards,New York Knicks,0.7080025916022731
Golden State Warriors,Boston Celtics,0.7468075059552512
Atlanta Hawks,Charlotte Hornets,0.5070358821159724
Cleveland Cavaliers,Detroit Pistons,0.7533677671591741
Dallas Mavericks,Memphis Grizzlies,0.553224271448844
Toronto Raptors,Denver Nuggets,0.830725140116768
Indiana Pacers,Phoenix Suns,0.8556117333856222
San Antonio Spurs,Los Angeles Lakers,0.9717380507689173
Portland Trail Blazers,New Orleans Pelicans,0.7562272862551873
Oklahoma City Thunder,Brooklyn Nets,0.9494892247026908
Los Angeles Clippers,Sacramento Kings,0.7757366825079012
Boston Celtics,Detroit Pistons,0.6168931927164032
Utah Jazz,Houston Rockets,0.5001885148749372
Los Angeles Clippers,Chicago Bulls,0.5590460299766125
Memphis Grizzlies,Minnesota Timberwolves,0.7086012965347784
Golden State Warriors,Milwaukee Bucks,0.9198864502777155
Charlotte Hornets,New Orleans Pelicans,0.7813193405244948
Dallas Mavericks,Orlando Magic,0.5842056170880874
Phoenix Suns,Philadelphia 76ers,0.8276896937763136
Miami Heat,Washington Wizards,0.6269917442432023
Portland Trail Blazers,Brooklyn Nets,0.8938357047885177
Utah Jazz,Denver Nuggets,0.6286960827878989
Chicago Bulls,Los Angeles Lakers,0.9348370166269284
Atlanta Hawks,New York Knicks,0.7640701730479645
Oklahoma City Thunder,Indiana Pacers,0.6712721745153486
Toronto Raptors,Sacramento Kings,0.816679784686976
Charlotte Hornets,Memphis Grizzlies,0.6619695250996604
Detroit Pistons,Houston Rockets,0.5602411702699933
Golden State Warriors,Indiana Pacers,0.811713039123051
Toronto Raptors,Los Angeles Clippers,0.5758831518544791
Orlando Magic,Milwaukee Bucks,0.5825473701281194
Boston Celtics,Minnesota Timberwolves,0.8254870406844529
Miami Heat,Philadelphia 76ers,0.9770790941293963
San Antonio Spurs,Dallas Mavericks,0.7810507649012337
Washington Wizards,Phoenix Suns,0.8407533409114823
Atlanta Hawks,New Orleans Pelicans,0.7939544196159714
Chicago Bulls,Denver Nuggets,0.7403114798120862
Oklahoma City Thunder,Los Angeles Lakers,0.9607350647199664
Portland Trail Blazers,New York Knicks,0.7379976194922413
Boston Celtics,Brooklyn Nets,0.9182583013341968
San Antonio Spurs,Charlotte Hornets,0.7080521639383646
Cleveland Cavaliers,Portland Trail Blazers,0.7167462620855517
Los Angeles Clippers,Dallas Mavericks,0.6814398713768645
Miami Heat,Detroit Pistons,0.6120755187333415
Golden State Warriors,Los Angeles Lakers,0.9819345292387706
Toronto Raptors,Houston Rockets,0.7436262478502537
Atlanta Hawks,Indiana Pacers,0.5684085649699068
New Orleans Pelicans,Minnesota Timberwolves,0.5644063025252457
Orlando Magic,Phoenix Suns,0.7683744790187389
Memphis Grizzlies,Philadelphia 76ers,0.9490097341990122
Oklahoma City Thunder,Sacramento Kings,0.8152832021914268
Utah Jazz,Denver Nuggets,0.6553465610189828
San Antonio Spurs,Boston Celtics,0.6799704578553288
Cleveland Cavaliers,Dallas Mavericks,0.7865569309441177
Oklahoma City Thunder,Denver Nuggets,0.8294132086411753
Los Angeles Clippers,Detroit Pistons,0.6459798795267595
Indiana Pacers,Brooklyn Nets,0.901637589152867
Golden State Warriors,Los Angeles Lakers,0.9794793869693322
Miami Heat,Memphis Grizzlies,0.6836534415772654
Toronto Raptors,Milwaukee Bucks,0.8559290584298529
Charlotte Hornets,New York Knicks,0.7643814549868724
Washington Wizards,Orlando Magic,0.6105522015331484
Chicago Bulls,Philadelphia 76ers,0.9736021738285782
Minnesota Timberwolves,Phoenix Suns,0.585517673321699
Portland Trail Blazers,New Orleans Pelicans,0.8072008546861708
Houston Rockets,Sacramento Kings,0.5980716567688857
Atlanta Hawks,Utah Jazz,0.6236231065940163
Charlotte Hornets,New York Knicks,0.7770202118975924
Golden State Warriors,Minnesota Timberwolves,0.9294209393340296
Miami Heat,Memphis Grizzlies,0.68848941132752
Oklahoma City Thunder,Detroit Pistons,0.6836587012669358
San Antonio Spurs,Washington Wizards,0.7770617566493339
Sacramento Kings,Brooklyn Nets,0.7731962308613416
Dallas Mavericks,New Orleans Pelicans,0.7107749989479794
Los Angeles Clippers,Indiana Pacers,0.6339582557505082
Atlanta Hawks,Los Angeles Lakers,0.9358224725898209
Orlando Magic,Milwaukee Bucks,0.6251257061900484
Cleveland Cavaliers,Philadelphia 76ers,0.9892366095293824
Denver Nuggets,Phoenix Suns,0.6744967489220977
Portland Trail Blazers,Houston Rockets,0.6492926253373585
Golden State Warriors,Atlanta Hawks,0.7402214538362651
Charlotte Hornets,Memphis Grizzlies,0.6556199313432314
Boston Celtics,Miami Heat,0.5139974337132576
Utah Jazz,Minnesota Timberwolves,0.7043042403769374
Oklahoma City Thunder,New York Knicks,0.8445814434437549
Toronto Raptors,Philadelphia 76ers,0.9883856391014453
Washington Wizards,Sacramento Kings,0.6576404535968428
Los Angeles Clippers,Brooklyn Nets,0.9271658143061801
Charlotte Hornets,Detroit Pistons,0.574361659774619
Cleveland Cavaliers,Milwaukee Bucks,0.8958327920849894
New Orleans Pelicans,Los Angeles Lakers,0.8424748177530225
San Antonio Spurs,Orlando Magic,0.8426518565406129
Utah Jazz,Houston Rockets,0.5161757716555369
Boston Celtics,Detroit Pistons,0.6063453800698986
Chicago Bulls,Los Angeles Lakers,0.9480070378003144
San Antonio Spurs,Dallas Mavericks,0.7931993615811057
Miami Heat,Denver Nuggets,0.7671673810062795
New York Knicks,Minnesota Timberwolves,0.5321062178302882
Oklahoma City Thunder,Washington Wizards,0.7002954263702502
Atlanta Hawks,Phoenix Suns,0.8671710904543278
Portland Trail Blazers,Indiana Pacers,0.5786837833357626
Toronto Raptors,Memphis Grizzlies,0.7611955491467172
Milwaukee Bucks,Brooklyn Nets,0.7116053909454256
Charlotte Hornets,Dallas Mavericks,0.6194722949493465
Cleveland Cavaliers,Los Angeles Clippers,0.6259698819591226
Golden State Warriors,Houston Rockets,0.8343534383111023
Memphis Grizzlies,Orlando Magic,0.5694578202573597
Miami Heat,Utah Jazz,0.653273638064481
Atlanta Hawks,Detroit Pistons,0.5722581081885147
Boston Celtics,Sacramento Kings,0.7591062623868171
Cleveland Cavaliers,Chicago Bulls,0.7194870327835841
Houston Rockets,Denver Nuggets,0.6210951816528919
Los Angeles Clippers,New Orleans Pelicans,0.8242655274656807
New York Knicks,Minnesota Timberwolves,0.5879708176546349
Orlando Magic,Philadelphia 76ers,0.9371602209738253
San Antonio Spurs,Washington Wizards,0.7617373954210523
Toronto Raptors,Los Angeles Lakers,0.967935586684628
Charlotte Hornets,Minnesota Timberwolves,0.8179564229663496
Chicago Bulls,Dallas Mavericks,0.6154382096798408
Golden State Warriors,Phoenix Suns,0.9569665896625336
Memphis Grizzlies,Los Angeles Lakers,0.9093970111284256
Milwaukee Bucks,Brooklyn Nets,0.7748544944112142
Boston Celtics,Philadelphia 76ers,0.9775301623035826
Miami Heat,Portland Trail Blazers,0.520552053776349
Toronto Raptors,Atlanta Hawks,0.6127808166966037
Utah Jazz,Denver Nuggets,0.6553465610189828
Detroit Pistons,Orlando Magic,0.6443298985002675
Los Angeles Clippers,Indiana Pacers,0.6206060346580262
Sacramento Kings,New York Knicks,0.532827847007536
Oklahoma City Thunder,New Orleans Pelicans,0.8615824127892977
Oklahoma City Thunder,Atlanta Hawks,0.6351415867424894
Washington Wizards,Brooklyn Nets,0.8657845547947679
Chicago Bulls,Portland Trail Blazers,0.5235798547522179
Charlotte Hornets,Dallas Mavericks,0.6196940182854815
Golden State Warriors,Indiana Pacers,0.7888890618871999
Boston Celtics,Houston Rockets,0.6652656681524426
Utah Jazz,Los Angeles Lakers,0.8949676884205934
San Antonio Spurs,Milwaukee Bucks,0.8921395076207632
Memphis Grizzlies,New Orleans Pelicans,0.639089623877328
Denver Nuggets,Philadelphia 76ers,0.9224730954519597
Cleveland Cavaliers,Toronto Raptors,0.6077235721324553
Chicago Bulls,Detroit Pistons,0.5771898315103976
Memphis Grizzlies,Philadelphia 76ers,0.9658651842165535
Miami Heat,New York Knicks,0.7972780856896676
San Antonio Spurs,Minnesota Timberwolves,0.9057600021785251
Utah Jazz,Phoenix Suns,0.8248728002433476
Washington Wizards,Orlando Magic,0.6296975232182711
Miami Heat,Atlanta Hawks,0.5412186183505912
Denver Nuggets,Brooklyn Nets,0.7544507309242803
Charlotte Hornets,Detroit Pistons,0.574361659774619
Dallas Mavericks,Sacramento Kings,0.6357818586477734
Houston Rockets,Los Angeles Lakers,0.9176165603230939
Golden State Warriors,Los Angeles Clippers,0.7240856802070477
Portland Trail Blazers,Milwaukee Bucks,0.7531434687580283
Cleveland Cavaliers,New York Knicks,0.8881413607641904
Boston Celtics,Orlando Magic,0.731914675874528
Indiana Pacers,Phoenix Suns,0.8327233341767516
San Antonio Spurs,Chicago Bulls,0.7115545325238581
Portland Trail Blazers,Memphis Grizzlies,0.6230629995626031
New Orleans Pelicans,Philadelphia 76ers,0.9377993343902102
Toronto Raptors,Minnesota Timberwolves,0.8797140166921323
Golden State Warriors,Utah Jazz,0.844325893334017
Washington Wizards,Denver Nuggets,0.6806481843317992
Toronto Raptors,Boston Celtics,0.6041372500117059
Charlotte Hornets,Orlando Magic,0.7096329001342546
Cleveland Cavaliers,Miami Heat,0.6593357623446853
Indiana Pacers,Dallas Mavericks,0.5536427706429263
Phoenix Suns,Los Angeles Lakers,0.6513777741161297
Atlanta Hawks,Milwaukee Bucks,0.7781618759342466
Detroit Pistons,Minnesota Timberwolves,0.7459860666921952
Oklahoma City Thunder,Houston Rockets,0.733509771151428
Sacramento Kings,New York Knicks,0.5767419793335463
Miami Heat,Chicago Bulls,0.5433046817470921
Cleveland Cavaliers,Charlotte Hornets,0.687211102836105
Dallas Mavericks,Houston Rockets,0.5056379565080764
Portland Trail Blazers,Indiana Pacers,0.5339036123899842
Los Angeles Clippers,New Orleans Pelicans,0.8329488771105663
Golden State Warriors,Memphis Grizzlies,0.8615145158921451
Orlando Magic,Denver Nuggets,0.5725012281372168
San Antonio Spurs,Brooklyn Nets,0.962574561121659
Utah Jazz,Sacramento Kings,0.6315028522364031
Washington Wizards,Milwaukee Bucks,0.7263238927864364
Detroit Pistons,Philadelphia 76ers,0.9748462856929889
New York Knicks,Los Angeles Lakers,0.802697851387332
Golden State Warriors,Minnesota Timberwolves,0.9302769292004157
Oklahoma City Thunder,Boston Celtics,0.572970312888788
New Orleans Pelicans,Phoenix Suns,0.6202245136669275
Dallas Mavericks,Denver Nuggets,0.6594979818678182
Houston Rockets,Brooklyn Nets,0.8757633664173344
Charlotte Hornets,Indiana Pacers,0.5688323230730803
Los Angeles Clippers,Portland Trail Blazers,0.5891705356690586
Miami Heat,Washington Wizards,0.6221585523684233
Sacramento Kings,Los Angeles Lakers,0.8788180486851188
Toronto Raptors,Milwaukee Bucks,0.8612719705702092
Atlanta Hawks,Orlando Magic,0.7078578365176649
Chicago Bulls,Minnesota Timberwolves,0.8154108548398258
Cleveland Cavaliers,Memphis Grizzlies,0.8159385592797116
Golden State Warriors,New Orleans Pelicans,0.9211054596205991
New York Knicks,Phoenix Suns,0.6455748021287523
Oklahoma City Thunder,Portland Trail Blazers,0.6157017291787609
Brooklyn Nets,Los Angeles Lakers,0.6633658664526789
Detroit Pistons,Dallas Mavericks,0.5395937991953659
Houston Rockets,Sacramento Kings,0.6237785535204675
Cleveland Cavaliers,Memphis Grizzlies,0.8233014958329292
Miami Heat,Indiana Pacers,0.5899986536850724
Los Angeles Clippers,Orlando Magic,0.7557265237603228
Toronto Raptors,Philadelphia 76ers,0.984494113692504
San Antonio Spurs,Boston Celtics,0.647371162688783
Oklahoma City Thunder,Utah Jazz,0.7354688716598141
Charlotte Hornets,Washington Wizards,0.5968976990754069
Portland Trail Blazers,Denver Nuggets,0.7159259804759806
Golden State Warriors,New York Knicks,0.9108169137650517
Chicago Bulls,Milwaukee Bucks,0.7753367040998101
Indiana Pacers,New Orleans Pelicans,0.7311611654426009
San Antonio Spurs,Phoenix Suns,0.9390017190695458
Boston Celtics,Charlotte Hornets,0.5255860383740414
Chicago Bulls,Milwaukee Bucks,0.7894693480163075
Houston Rockets,New Orleans Pelicans,0.7000772929963472
Memphis Grizzlies,Sacramento Kings,0.5990520524789519
Los Angeles Clippers,Miami Heat,0.545136015808702
Orlando Magic,Brooklyn Nets,0.8369078357004748
Los Angeles Lakers,Philadelphia 76ers,0.6627583771400856
Toronto Raptors,Atlanta Hawks,0.6127808166966037
Utah Jazz,Dallas Mavericks,0.5026247771977697
Detroit Pistons,Washington Wizards,0.5157480785787971
Charlotte Hornets,Atlanta Hawks,0.5096168227037104
Cleveland Cavaliers,Los Angeles Lakers,0.9767344915512469
Denver Nuggets,New York Knicks,0.5529631824132993
Indiana Pacers,Detroit Pistons,0.5141007352577592
Golden State Warriors,Portland Trail Blazers,0.766142833306475
Houston Rockets,Minnesota Timberwolves,0.6975064042846555
Oklahoma City Thunder,Phoenix Suns,0.9239659738690026
Dallas Mavericks,Sacramento Kings,0.6357818586477734
Utah Jazz,Memphis Grizzlies,0.5261896787385838
Boston Celtics,Miami Heat,0.5139974337132576
Toronto Raptors,Orlando Magic,0.7993780283080427
Brooklyn Nets,Philadelphia 76ers,0.7564102000034598
San Antonio Spurs,New Orleans Pelicans,0.894920622074402
Los Angeles Clippers,Washington Wizards,0.6603159343519973
Chicago Bulls,Detroit Pistons,0.5701996740989475
Dallas Mavericks,Denver Nuggets,0.6337702819381099
Indiana Pacers,Washington Wizards,0.5325841245991728
Minnesota Timberwolves,Phoenix Suns,0.6569066518690088
Oklahoma City Thunder,Atlanta Hawks,0.6089313686571842
Charlotte Hornets,Los Angeles Lakers,0.9488387735784359
Golden State Warriors,Utah Jazz,0.8298229474498028
San Antonio Spurs,Houston Rockets,0.8015172659500991
Los Angeles Clippers,Denver Nuggets,0.7971505130694999
Boston Celtics,Memphis Grizzlies,0.6880352566885763
Miami Heat,Orlando Magic,0.7339164725957082
Cleveland Cavaliers,Milwaukee Bucks,0.8958327920849894
Indiana Pacers,New York Knicks,0.711771458289189
New Orleans Pelicans,Philadelphia 76ers,0.9036400155323612
Portland Trail Blazers,Sacramento Kings,0.6958428616424364
Toronto Raptors,Brooklyn Nets,0.9502602469603518
Atlanta Hawks,Minnesota Timberwolves,0.8166724858439924
Chicago Bulls,Washington Wizards,0.589218050599561
Cleveland Cavaliers,Milwaukee Bucks,0.8962019978603023
Detroit Pistons,Memphis Grizzlies,0.5921085503425444
Oklahoma City Thunder,New Orleans Pelicans,0.8568338281481581
Houston Rockets,Phoenix Suns,0.7869258068860224
Portland Trail Blazers,Dallas Mavericks,0.6368469172447742
Utah Jazz,Sacramento Kings,0.6315028522364031
Golden State Warriors,Brooklyn Nets,0.9694063367604804
Boston Celtics,Indiana Pacers,0.6044886000203828
San Antonio Spurs,Los Angeles Clippers,0.6540292794347827
Miami Heat,Los Angeles Lakers,0.9544028258187767
Orlando Magic,New York Knicks,0.563007771504414
Oklahoma City Thunder,Boston Celtics,0.6019107409248359
Chicago Bulls,Charlotte Hornets,0.5029632991081738
Cleveland Cavaliers,Brooklyn Nets,0.9637277407755275
Atlanta Hawks,Denver Nuggets,0.7434313492111498
Golden State Warriors,Detroit Pistons,0.819558413700249
Los Angeles Clippers,Dallas Mavericks,0.676219880075695
Houston Rockets,Memphis Grizzlies,0.5180988219443518
Washington Wizards,Milwaukee Bucks,0.7003791668155761
Sacramento Kings,Minnesota Timberwolves,0.5894053751665513
Miami Heat,New Orleans Pelicans,0.8022075191246036
Orlando Magic,Los Angeles Lakers,0.8902097922775688
Phoenix Suns,Philadelphia 76ers,0.8917400899012603
San Antonio Spurs,Portland Trail Blazers,0.6924390136956049
Toronto Raptors,Utah Jazz,0.7372744417877166
Golden State Warriors,Cleveland Cavaliers,0.5979613830930302
Los Angeles Clippers,Los Angeles Lakers,0.9504355888285927
Boston Celtics,New York Knicks,0.7898410114476835
Oklahoma City Thunder,Minnesota Timberwolves,0.8779898558751599
San Antonio Spurs,Chicago Bulls,0.6840912525897199
Charlotte Hornets,Brooklyn Nets,0.9065144348705817
Chicago Bulls,Indiana Pacers,0.5562541446593218
Cleveland Cavaliers,Detroit Pistons,0.7728210934430446
Houston Rockets,Phoenix Suns,0.820046806703946
Los Angeles Clippers,Denver Nuggets,0.7971505130694999
Atlanta Hawks,Minnesota Timberwolves,0.8029970656699594
Dallas Mavericks,New Orleans Pelicans,0.6805258649331327
Memphis Grizzlies,Orlando Magic,0.5387440901440201
Toronto Raptors,Portland Trail Blazers,0.6179000702433088
Sacramento Kings,Philadelphia 76ers,0.9533672269578268
Washington Wizards,Milwaukee Bucks,0.7263238927864364
Boston Celtics,Memphis Grizzlies,0.6909127714486001
Dallas Mavericks,Houston Rockets,0.520777708709176
Utah Jazz,Los Angeles Lakers,0.8949676884205934
Oklahoma City Thunder,Miami Heat,0.6046208420494606
Atlanta Hawks,New York Knicks,0.7755267891101455
Chicago Bulls,Brooklyn Nets,0.9202512916238188
Denver Nuggets,Minnesota Timberwolves,0.6146327602062909
Detroit Pistons,Milwaukee Bucks,0.7387223617607909
Golden State Warriors,Toronto Raptors,0.6272003390101205
Los Angeles Clippers,New Orleans Pelicans,0.8242655274656807
Charlotte Hornets,Orlando Magic,0.7020845439420502
Portland Trail Blazers,Sacramento Kings,0.7483582068773501
San Antonio Spurs,Phoenix Suns,0.943268302549062
Indiana Pacers,Washington Wizards,0.5298907490585493
Miami Heat,Charlotte Hornets,0.5390827146770008
Cleveland Cavaliers,Boston Celtics,0.6547531128053165
Dallas Mavericks,Los Angeles Lakers,0.8969992083623225
Oklahoma City Thunder,Memphis Grizzlies,0.7612785425553772
Toronto Raptors,Phoenix Suns,0.917061063815195
Utah Jazz,Philadelphia 76ers,0.9701092322897253
Atlanta Hawks,Detroit Pistons,0.5722581081885147
Miami Heat,Boston Celtics,0.5060856575114072
Denver Nuggets,Philadelphia 76ers,0.9488716320564683
Golden State Warriors,Dallas Mavericks,0.8267224320663986
Los Angeles Clippers,Houston Rockets,0.6925103617767464
Chicago Bulls,Indiana Pacers,0.5644074237957024
